ticker,adf_statistic,p_value,ljung_box_stat_daily,p_value_daily,ljung_box_stat_abs,p_value_abs
BA,-4.893857581232128,3.584727640142907e-05,32.008977668764594,0.3671099415851773,250.27461420135893,1.3415583631117787e-36
CHRW,-5.003031105709203,2.1888636176146076e-05,45.255888898551504,0.03653610804083417,299.2099186136489,3.789416665935321e-46
DOV,-5.608145419062325,1.2207831980663617e-06,35.838079233150125,0.21342633742343484,390.3980981055575,2.424087761080078e-64
EFX,-5.0539966115774755,1.7333572131179413e-05,38.245383422775234,0.14355044664158315,253.89860681610668,2.6749386561863298e-37
EMR,-5.524239027550028,1.8481216519880754e-06,24.255543411615655,0.760341716046095,267.0393250517139,7.551971039079045e-40
FAST,-5.992004471520401,1.7367048384607837e-07,44.749293013699244,0.04072475505896043,428.67662090488756,4.3473972228822467e-72
ITW,-4.718621702989862,7.762949883233381e-05,45.95562543503017,0.03137838901296686,301.8217187942663,1.1584798501238351e-46
NOC,-5.39446085820959,3.479132818476238e-06,36.94093956685827,0.17887164593129168,514.1805586578315,1.486336825926401e-89
UPS,-6.064590927025185,1.1901519179860608e-07,27.99608112380022,0.5706443919925084,607.0867027073718,1.0090540085219618e-108
WM,-5.61578637137514,1.1752891823835091e-06,42.22090243681633,0.06851422980596969,547.8280285488314,1.7764032266889746e-96
